,State,State#,Total State Population,Males under 18 years,Males 18 and 19 years,Males 20 to 24,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males Over 65 years,Females under 18 years,Females 18 and 19 years,Females 20 to 24,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females Over 65 years,Democrat votes 2016,Republican votes 2016
39,Rhode Island,44,1054491,108819,17383,41201,36837,32749,30036,31947,35265,38237,37016,12780,18328,70699,103587,18473,40320,35316,32879,30839,33009,37671,41111,39763,14783,19625,95818,252525,180543
40,South Carolina,45,4834605,551976,68990,177420,159467,149851,141409,151599,152059,162110,153534,59299,83965,336659,533803,63966,169026,161610,154919,150312,154133,162001,174716,173048,67159,96553,425021,855373,1155389
41,South Dakota,46,851058,107705,12402,31720,29308,28728,25805,24125,24914,29035,29854,11093,14990,58455,101910,11732,29002,26718,26988,23978,23008,24241,28732,29391,11081,15389,70754,117458,227721
42,Tennessee,47,6548009,762967,85114,231012,216343,210017,203019,212287,215165,222969,212223,78481,110167,432213,731958,81238,228380,219602,215238,209039,216272,222619,237045,232035,86987,123383,552236,870695,1522925
43,Texas,48,26956435,3639131,393458,1020861,1002615,982130,910992,906297,858734,862747,782172,278429,371288,1370311,3493345,367685,956827,966144,964885,912527,912647,868068,882040,817971,300269,408606,1726256,3877868,4685047
44,Utah,49,2948427,464852,43559,127024,109760,114526,107447,89265,77995,76586,72707,26860,36418,136056,440344,43886,121659,106776,110406,103631,85434,75875,77540,74763,27673,38099,159286,310674,515211
45,Vermont,50,626249,62628,10897,23689,18307,17762,16664,18930,20836,23981,24673,9153,12908,48283,59063,10531,22137,17632,18048,17618,18747,21469,25357,25510,10009,13507,57910,178573,95369
46,Virginia,51,8310301,952912,118631,306002,293037,287791,267445,276068,283940,296290,268263,98434,133945,503525,912644,114903,284199,287396,286313,270562,280883,294037,309284,288191,107149,147165,641292,1981473,1769443
47,Washington,53,7073146,820830,90036,255243,264085,257541,234846,233022,233119,243978,235644,88378,122014,450695,783765,83971,235077,250023,248397,229829,225429,229635,246126,244659,95343,129314,542147,1742718,1221747
48,West Virginia,54,1846092,194530,24006,62921,55652,55773,55274,59963,60562,64717,66852,26983,37943,147094,185318,21710,60489,52965,54243,55204,57707,59986,67063,70714,28019,39374,181030,188794,489371
49,Wisconsin,55,5754798,665341,81132,205616,183483,188083,174025,175980,192426,214594,207218,76632,103348,391177,636157,78242,197058,174804,182556,169815,172261,191613,216770,210090,76244,106090,484043,1382536,1405284
50,Wyoming,56,583029,71890,7738,22572,21271,21269,18469,18204,17526,19675,20673,8588,11604,38212,66954,7170,19643,19412,19710,17464,16566,16168,19991,20679,8208,10878,42495,55973,174419
