Total_population,Income_median,Income_per_capita,Unemployment_rate,Poverty_rate,Latitude,Longitude,median_male_age,median_female_age,population_white_alone,population_black_alone,population_asian_alone,population_hispanic_origin,population_american_indian_alone,median_house_construction_year
3047646,51129,26545,0.05559467,0.11834379699999999,42.0751,-93.49600000000001,36.6,39.4,2793432,88664,54262,151027,9708,1965
6059651,49593,27044,0.065937893,0.148152922,38.3566,-92.458,36.8,39.7,5000875,701896,107953,237284,25641,1976
900131,60119,29733,0.08374601200000001,0.11182261199999999,38.9896,-75.505,37.3,40.0,634259,192629,29177,73230,2877,1980
1327503,68485,35264,0.050672372,0.082628815,43.6805,-71.5811,41.3,43.5,1243594,17483,32094,43500,2085,1977
8793888,71637,35928,0.095073456,0.096721609,40.1907,-74.6728,37.4,40.3,6121023,1187307,736015,1557680,21702,1965
1827306,51381,26523,0.055750435,0.12052934800000001,41.5378,-99.7951,35.0,37.5,1612538,82341,32302,167155,16461,1970
1413673,71977,30970,0.055116409000000005,0.105099977,20.2927,-156.3737,36.9,40.1,353643,25871,537363,141827,2715,1978
605759,64267,45004,0.105060465,0.17433665899999998,38.9101,-77.0147,33.7,34.1,239413,309263,21440,56259,2143,1950
9909600,50803,27549,0.084919522,0.15894344900000001,44.3467,-85.4102,38.1,40.9,7817827,1376446,276769,474381,52891,1970
2851183,51273,26845,0.067176245,0.128247117,38.4937,-98.3804,34.7,37.5,2435253,164177,68683,298636,23435,1971
10099320,51037,26678,0.08538993199999999,0.172971448,32.6415,-83.4426,34.9,37.4,6039389,3148134,373983,926990,28950,1988
1881259,54384,28596,0.041714016,0.120675037,41.5378,-99.7951,35.1,37.5,1655708,88388,39794,191802,15739,1971
1846092,42644,24002,0.075422577,0.172288272,38.6409,-80.6227,40.7,43.1,1725411,63305,13990,26247,3281,1974
